Model Name,Accuracy,Precision,Recall,F1 Score
vedant_2024-04-08_18-17-24,0.0254841997961264,1.0,0.0254841997961264,0.04970178926441352
vedant_2024-04-08_22-10-21,0.6493374108053007,1.0,0.6493374108053007,0.7873918417799752
vedant_2024-04-08_22-46-38,0.3119266055045872,1.0,0.3119266055045872,0.4755244755244755
vedant_2024-04-08_22-57-08,0.7125382262996942,1.0,0.7125382262996942,0.8321428571428572
vedant_2024-04-08_22-57-54,0.4831804281345566,1.0,0.4831804281345566,0.6515463917525773
vedant_2024-04-08_23-01-53,0.03669724770642202,1.0,0.03669724770642202,0.07079646017699115
vedant_2024-04-09_00-20-12,0.19164118246687054,1.0,0.19164118246687054,0.32164242942686055
vedant_2024-04-09_00-29-01,0.25076452599388377,1.0,0.25076452599388377,0.40097799511002447
